Disease Name,Symptoms
Parkinson’s disease,"The symptoms of Parkinson’s disease usually develop gradually and are mild at first.
There are many different symptoms associated with Parkinson’s disease. Some of the more common symptoms are described below.
However, the order in which these develop and their severity is different for each individual. It’s unlikely that a person with Parkinson’s disease would experience all or most of these.
The three main symptoms of Parkinson’s disease affect physical movement:

tremor – shaking, which usually begins in the hand or arm and is more likely to occur when the limb is relaxed and resting
slowness of movement (bradykinesia) – where physical movements are much slower than normal, which can make everyday tasks difficult and can result in a distinctive slow, shuffling walk with very small steps
muscle stiffness (rigidity) – stiffness and tension in the muscles, which can make it difficult to move around and make facial expressions, and can result in painful muscle cramps (dystonia)

These main symptoms are sometimes referred to by doctors as parkinsonism as there can be causes other than Parkinson’s disease.
Parkinson’s disease can also cause a range of other physical and mental symptoms.

balance problems – these can make someone with the condition more likely to have a fall and injure themselves
loss of sense of smell (anosmia) – sometimes occurs several years before other symptoms develop
nerve pain – can cause unpleasant sensations, such as burning, coldness or numbness
problems with urination – such as having to get up frequently during the night to urinate or unintentionally passing urine (urinary incontinence)
constipation
an inability to obtain or sustain an erection (erectile dysfunction) in men 
difficulty becoming sexually aroused and achieving an orgasm (sexual dysfunction) in women
dizziness, blurred vision or fainting when moving from a sitting or lying position to a standing one – caused by a sudden drop in blood pressure
excessive sweating (hyperhidrosis)
swallowing difficulties (dysphagia) – this can lead to malnutrition and dehydration
excessive production of saliva (drooling)
problems sleeping (insomnia) – this can result in excessive sleepiness during the day


depression and anxiety
mild cognitive impairment – slight memory problems and problems with activities that require planning and organisation
dementia – a group of symptoms, including more severe memory problems, personality changes, seeing things that aren’t there (visual hallucinations) and believing things that aren’t true (delusions)

See your GP if you’re concerned you may have symptoms of Parkinson’s disease.
Your GP will ask about your symptoms and your medical history to help them decide whether it’s necessary to refer you to a specialist for further tests.
Read more about diagnosing Parkinson’s disease"
Patau’s syndrome,
Patellofemoral pain syndrome,"These can vary from person to person.
People may experience some or all of these symptoms including:

pain beneath or around the kneecap especially on climbing up and down stairs, kneeling and squatting.                     
clicking and grinding in the knee.  
giving way of the knee or sensation of this.  
pain after maintaining a sitting position for a period of time, such as driving or at the cinema. 
swelling.  
tight feeling in the calves and thighs.

The causes can vary between individuals, but it’s often as a result of altered loading of the patella (kneecap). 
The main contributing factors can be:  

weakness in the buttocks and thighs.
tightness in the hamstrings and calf. 
sudden changes in activities.

Other factors could be:

repeated kneeling or bending of the knee.
sitting or driving for a prolonged period of time.
being overweight. 

The strongest evidence suggests that strengthening any weak or underactive muscles and stretching any short or tight muscles is very important.
An important step in your recovery is identifying which activities are causing or increasing your pain. Modifying those activities can help to reduce symptoms, however, it’s important to make sure you remain active.
Modifying your activities may include:

reducing the amount of kneeling
take regular breaks while doing aggravating activities
reduce the amount of time you sit still

Read more about exercises for patellofemoral pain syndrome
Read more about how to stay active
Pain medication – this can help you move more comfortably, which can help your recovery
More about taking painkillers
A knee problem can sometimes mean you need to take some time off work to help recovery. How long you’re off will depend on the nature of your condition and your role at work.
You do not need to be symptom free before you consider returning to work. Continuing to go to work, or returning to work as soon as is possible for you, will help your recovery. Gradually getting back to your normal daily activities can help to build up your strength and stamina levels.
Following this advice, you should see gradual improvements over time.
If your patellofemoral pain syndrome hasn’t improved within 6 weeks, or it’s got worse, after following this advice, talk to a healthcare professional about your symptoms.
Read about how to access MSK services
When dealing with any health condition it’s important to also look after your mental wellbeing as this can impact your recovery."
Pelvic inflammatory disease,"PID often does not cause any obvious symptoms.
Most symptoms are mild, making it difficult to diagnose.
Symptoms include:

pain around the pelvis or lower tummy
discomfort or pain during sex that is felt deep inside the pelvis
pain when peeing
bleeding between periods or after sex
heavy periods
painful periods
unusual vaginal discharge

Less common symptoms include:

severe tummy pain
a high temperature (fever)
feeling and being sick

If you think you might have PID, get checked for free by:

booking an appointment at your local sexual health service
contacting your GP practice for an appointment

There is no single test for diagnosing PID.
Your doctor or nurse will discuss your symptoms before you have an internal examination. This shouldn’t be painful, but you may experience some discomfort.
When your doctor examines you, they’ll look for tenderness in your pelvic region and an abnormal vaginal discharge.
The doctor will usually take swabs from inside your vagina and cervix. These will be sent to a lab for analysis. However, a swab test can’t be relied on to diagnose PID, as some women with PID have a negative swab result.
You may have an ultrasound scan. Scans can identify severe PID but will not show up mild disease. It’s possible to have a normal scan and still have PID.
If it’s diagnosed at an early stage, oral antibiotics will treat PID. You’ll probably be given these to take for at least 2 weeks.
In more severe cases, you may be admitted to hospital for observation and treatment with antibiotic injections.
Always see your doctor or nurse if you think you might have PID, as the sooner you are treated, the better. If you’re given treatment, always make sure that you take all of your antibiotics and finish the entire course.
Your partner(s) should also be treated and you should avoid sex until your treatment is completed.
Most cases of PID are caused by a bacterial infection that’s spread from the vagina or the cervix to the reproductive organs higher up.
Many different types of bacteria can cause PID. However, most cases are the result of a chlamydia or gonorrhoea infection.
In some cases, the cause of the infection that leads to PID is unknown. Such cases may be the result of normally harmless bacteria found in the vagina. These bacteria can sometimes get past the cervix and into the reproductive organs.
If left untreated, PID can cause serious conditions including:

pelvic abscesses
long-term pelvic pain, or pelvic pain that keeps coming back
reduced fertility or infertility
ectopic pregnancy

The best way to reduce your risk of STIs is to practice safer sex. This means using a condom for vaginal, anal and oral sex.
If you have been diagnosed with PID you should get tested for all STIs including:

chlamydia
gonorrhoea
syphilis
"
Pelvic organ prolapse,"Some women with a pelvic organ prolapse don’t have any symptoms at all. The condition may only discovered during an internal examination for another reason. For example, during a cervical screening test (smear test). Other women will experience symptoms. It’s normal for your symptoms to feel more or less severe at different times of the day.
A prolapse is a common condition. Seeing your doctor earlier may help you manage it more easily.
Your doctor will need to carry out a pelvic examination, which will include an internal examination of your vagina. Your doctor will discuss this with you and you can ask any questions that you might have.
As this is an intimate examination, the doctor may have another person (chaperone) present. You can ask for a female doctor or health professional if you prefer.
The internal examination is similar to a smear test and should only take a few minutes. Your doctor will discuss with you if they think any further tests are needed.
Pelvic organ prolapse can affect the front, top or back of vagina. The main types of prolapse are:

anterior prolapse (cystocele) – where the bladder bulges into the front wall of the vagina
prolapse of the womb and / or cervix (the opening between the vagina and the womb) – where the womb and / or cervix bulges down in to the vagina
‘vault’ prolapse – this can be as a result of a total hysterectomy where the new ‘top’ of the vagina bulges downwards
posterior wall prolapse (rectocoele or enterocoele) – when the bowel bulges forward into the back wall of the vagina

You can have more than one of these types of prolapse at the same time.
A number system of 1 to 4 is usually used to describe how severe a pelvic organ prolapse is. For example, a 4 means a severe prolapse. You can ask your healthcare professional what this means for you, and any other questions you may have."
Penile cancer,
Peripheral neuropathy,"The symptoms of mononeuropathy can vary because they depend on which specific nerve has been affected. Example symptoms could include:

pain, weakness or altered sensation your fingers, feet or shins
double vision or other problems with focusing your eyes, sometimes with eye pain
weakness of one side of your face (Bell’s palsy)
Carpal tunnel syndrome
"
Personality disorder,"For example, borderline personality disorder (one of the most common types) can lead to:

disordered thinking
impulsive behaviour
problems controlling your emotions
concerns that other people will abandon you
intense but unstable relationships

Antisocial personality disorder can cause:

you to get frustrated easily
difficulty controlling anger

Other symptoms can include:

avoiding other people
being overwhelmed with feelings like anxiety or distress
feeling empty and emotionally distressed
difficulty maintaining stable and close relationships with other people
periods of losing contact with reality

Some people with personality disorders may have other mental health problems. For example, depression or drug and alcohol misuse."
PIMS,"All children with PIMS have fever (temperature over 380C) lasting at least 3 to 4 days.
Other common symptoms are:

red rash (spots or blotches) which may be there all the time, or come and go
red eyes (conjunctivitis) which are not sticky or itchy
abdominal pain which might be severe, like appendicitis
vomiting and/or diarrhoea
sore throat, cough, breathlessness
swollen glands
sore red mouth
swollen hands and feet
headache
dizziness
sleepiness or confusion

Many other illnesses can cause the same symptoms as PIMS. There’s no specific test for PIMS. Doctors can diagnose PIMS by:

asking about symptoms and how they’ve progressed
examination
doing blood tests and scans which show signs of inflammation

Although PIMS can make children very sick, there is effective treatment. The vast majority of children make a full recovery.
The most common medicines used are steroids and immunoglobulin. These are given into the vein and reduce inflammation. PIMS can affect the way the heart works, and cause inflammation in other organs. Some children will also need other treatments to help the heart and other body systems."
Plantar heel pain,
Pleurisy,
Pneumonia,
Polio,"About 95% of people with polio won’t have any symptoms and will fight off the infection without even realising they were infected.
A small number of people will experience a flu-like illness 3 to 21 days after they’re infected.
Symptoms can include:

a high temperature (fever) of 38C (100.4F) or above
a sore throat
a headache
abdominal (tummy) pain
aching muscles
feeling and being sick

These symptoms will usually pass within about a week.
In less than 1% of cases, the polio virus attacks the nerves in the spine and base of the brain. This can cause paralysis, usually in the legs, that develops over hours or days.
The paralysis isn’t usually permanent, and movement will often slowly return over the next few weeks and months.
But some people are left with persistent problems. If the breathing muscles are affected, it can be life threatening.
Although polio often passes quickly without causing any other problems, it can sometimes lead to persistent or lifelong difficulties.
About 1 in every 200 people with the infection will have some degree of permanent paralysis, and others may be left with problems that require long-term treatment and support.
These can include:

muscle weakness
shrinking of the muscles (atrophy)
tight joints (contractures)
deformities, such as twisted feet or legs

There’s also a chance that someone who’s had polio in the past will develop similar symptoms again, or worsening of their existing symptoms, many decades later. This is known as post-polio syndrome.
You can become infected with the polio virus if you come into contact with the poo (faeces) of someone with the infection, or with the droplets launched into the air when they cough or sneeze.
You can also get the infection from food or water that’s been contaminated with infected poo or droplets.
If the virus gets into your mouth, it travels to your throat and bowels, where it starts to multiply. In some cases, it can also get into the bloodstream and spread to the nervous system.
The virus can be spread by someone with the infection from about a week before any symptoms develop, until several weeks afterwards. Infected people who don’t have any symptoms can still pass polio on to others.
There have been rare cases where polio has been caused by being vaccinated with a live version of the polio virus.
This is no longer a risk in the UK because the vaccine used nowadays contains an inactive version of the virus.
As a result of routine vaccination programmes, polio has been largely wiped out in most parts of the world.
Areas declared polio-free by the World Health Organization (WHO) include Europe, the Americas, the western Pacific region and, most recently, southeast Asia.
But polio is found in some places. It’s still a significant problem in Afghanistan, Nigeria and Pakistan, and there’s a potential risk of infection in other parts of Africa and some Middle Eastern countries.
There’s currently no cure for polio. Treatment focuses on supporting bodily functions and reducing the risk of long-term problems while the body fights off the infection.
This can include bed rest in hospital, painkillers, breathing support and regular stretches or exercises to prevent problems with the muscles and joints.
If you’re left with long-term problems as a result of a polio infection, you’ll probably need ongoing treatment and support.
This may include physiotherapy to help with any movement problems, devices such as splints and braces to support weak limbs or joints, occupational therapy to help you adapt to any difficulties, and possibly surgery to correct any deformities.
The polio vaccine is offered as part of the NHS routine childhood immunisation programme.
It’s given in 5 separate doses:

at 8, 12 and 16 weeks of age – as part of the 6-in-1 (DTaP/IPV/Hib/HepB) vaccine
at 3 years and 4 months of age – as part of the 4-in-1 (DTaP/IPV) pre-school booster
between 13 and 18 years of age – as part of the 3-in-1 (Td/IPV) teenage booster

If you’re planning to travel to a polio-affected country, you should get immunised if you’ve not been fully immunised before, or have a booster dose if it’s been 10 years or more since your last dose of the vaccine.
Read more about travel immunisations
You can also get immunised at any point if you haven’t been fully immunised before, even if you’re not travelling somewhere where there’s a risk of infection.
If you’ve had polio in the past and haven’t been immunised, it’s still recommended that you get fully immunised.
There are 3 types of polio virus that the vaccine protects against, and people who have had the infection before will only be immune to one of these.
The polio immunisation is routinely offered for free on the NHS.
As the result of an increase in worldwide cases of polio in early 2014, the WHO issued temporary additional travel recommendations for people visiting countries where polio is found.
Depending on where you intend to travel, what you’ll be doing there and how long you’re staying for, you may now be advised to have a booster polio immunisation before travelling if you haven’t had one in the past 12 months.
Some of the countries where there’s risk of infection will require proof of immunisation before you’re permitted to travel elsewhere. If you don’t have this, you may be given a booster dose before departing."
Polycystic ovary syndrome (PCOS),"You are born with PCOS, but symptoms often start during puberty although for some people this can be later, up to their early twenties.
There are lots of different symptoms that can be caused by PCOS. The main symptoms are:

irregular periods – you should have at least 3 or 4 periods a year to keep the womb healthy if you’re not using hormonal contraception
excess facial or body hair which is caused by slightly higher levels of ‘male’ hormones in your body (androgen)

Other symptoms can include:

weight gain
hair loss or hair thinning
oily skin or acne
difficulty or delays getting pregnant

People who have PCOS can also struggle with depression and with their mental health as a result of the condition.
PCOS can increase your risk of certain health conditions, including type 2 diabetes and high cholesterol.
You should speak to your doctor if you are experiencing these symptoms and you are not pregnant or on hormone treatment."
Polymyalgia rheumatica,"Polymyalgia rheumatica often causes pain and stiffness. This can affect the shoulders, neck and hips. These symptoms can develop quickly over a few days or weeks. Both sides of the body are usually affected.
The stiffness often feels worse first thing in the morning after you wake up. It usually starts to improve after about 45 minutes as you become more active.
Polymyalgia rheumatica may also cause:

high temperature (fever) and sweating
extreme tiredness (fatigue)
loss of appetite
weight loss
depression

If you have been diagnosed with polymyalgia rheumatica and you suddenly develop vision loss or changes in your vision, like double vision, contact an optician immediately or phone 111.
It can take a long time to diagnose polymyalgia rheumatica. You may need different tests to help diagnose it. This is because it shares symptoms with other health conditions that need to be ruled out first.
There’s no specific test for polymyalgia rheumatic. But you should have blood tests to look for things like signs of inflammation before starting any corticosteroid treatment.
An X-ray or ultrasound scan may also be used to look at the condition of your bones and joints."
Post-polio syndrome,"The symptoms of post-polio syndrome include:

muscle weakness
shrinking of the muscles (atrophy)
tight joints (contractures)
pain in muscles or joints
chronic fatigue including physical tiredness and brain fatigue
swallowing and speech problems
respiratory problems like breathlessness and sleep apnoea
cramps and muscle twitching
being sensitive to cold temperatures

The muscle weakness and atrophy usually affects muscles that were previously affected by polio. Sometimes it affects other muscles.
This can impact your mobility and your ability to do everyday tasks like brushing your teeth or drying your hair.
Chronic fatigue is one of the most common and troublesome symptoms of post-polio syndrome. This can be physical fatigue (tiredness) and brain fatigue. Brain fatigue can cause problems with concentration, attention and memory. MRI scans can show white spots in the brains of polio survivors which may be related to brain fatigue.
The symptoms can gradually get worse over many years. There are supportive treatments that can help with symptoms.
Although post-polio syndrome is rarely life threatening, some people can develop breathing and swallowing difficulties that can lead to serious problems like chest infections.
Some people experience a sensitivity to some types of anaesthesia causing them to take longer to recover from having anaesthesia."
Post-traumatic stress disorder (PTSD),"The symptoms of post-traumatic stress disorder (PTSD) can have a significant impact on your day-to-day life.
In most cases, the symptoms develop during the first month after a traumatic event. However, in a minority of cases, there may be a delay of months or even years before symptoms start to appear.
Some people with PTSD experience long periods when their symptoms are less noticeable, followed by periods where they get worse. Other people have constant, severe symptoms.
The specific symptoms of PTSD can vary widely between individuals, but generally fall into the categories described below.
Re-experiencing is the most typical symptom of PTSD. This is when a person involuntarily and vividly re-lives the traumatic event in the form of:

flashbacks
nightmares
repetitive and distressing images or sensations
physical sensations – such as pain, sweating, nausea or trembling

Some people have constant negative thoughts about their experience, repeatedly asking themselves questions that prevent them from coming to terms with the event.
For example, they may wonder why the event happened to them and if they could have done anything to stop it, which can lead to feelings of guilt or shame.
Trying to avoid being reminded of the traumatic event is another key symptom of PTSD. This usually means avoiding certain people or places that remind you of the trauma, or avoiding talking to anyone about your experience.
Many people with PTSD try to push memories of the event out of their mind, often distracting themselves with work or hobbies.
Some people attempt to deal with their feelings by trying not to feel anything at all. This is known as emotional numbing. This can lead to the person becoming isolated and withdrawn, and they may also give up pursuing activities they used to enjoy.
Someone with PTSD may be very anxious and find it difficult to relax. They may be constantly aware of threats and easily startled. This state of mind is known as hyperarousal.
Hyperarousal often leads to:

irritability
angry outbursts
sleeping problems (insomnia)
difficulty concentrating

Many people with PTSD also have a number of other problems, including:

other mental health problems – such as depression, anxiety or phobias
self-harming or destructive behaviour – such as drug misuse or alcohol misuse
other physical symptoms – such as headaches, dizziness, chest pains and stomach aches

PTSD sometimes leads to work-related problems and the breakdown of relationships.
PTSD can affect children as well as adults. Children with PTSD can have similar symptoms to adults, such as having trouble sleeping and upsetting nightmares.
Like adults, children with PTSD may also lose interest in activities they used to enjoy and may have physical symptoms such as headaches and stomach aches.
However, there are some symptoms that are more specific to children with PTSD, such as:

bedwetting
being unusually anxious about being separated from a parent or other adult
re-enacting the traumatic event(s) through their play

It’s normal to experience upsetting and confusing thoughts after a traumatic event, but in most people these improve naturally over a few weeks.
You should visit your GP if you or your child are still having problems about four weeks after the traumatic experience, or if the symptoms are particularly troublesome.
Your GP will want to discuss your symptoms with you in as much detail as possible. They’ll ask whether you’ve experienced a traumatic event in the recent or distant past and whether you’ve re-experienced the event through flashbacks or nightmares.
Your GP can refer you to mental health specialists if they feel you’d benefit from treatment. See treating PTSD for more information."
Postural orthostatic tachycardia syndrome (PoTS),
Postnatal depression,"Postnatal depression affects everyone differently. It can start at any point in the first year after giving birth. It can continue from depression in pregnancy. It may develop suddenly or gradually.
Many people feel a bit down, tearful or anxious in the first week after giving birth. This is often called the ‘baby blues’ and is so common that it’s considered normal. The baby blues don’t last for more than 2 weeks after giving birth.
If your symptoms last longer or start later, you could have postnatal depression.
The main symptoms of postnatal depression include:

a persistent feeling of sadness and low mood
loss of interest in the world around you
no longer enjoying things that used to give you pleasure
lack of energy and feeling tired all the time
trouble sleeping at night
feeling sleepy during the day
feeling that you’re unable to look after your baby
problems concentrating and making decisions
loss of appetite or an increased appetite (comfort eating)
feeling agitated, irritable or very apathetic (you ‘can’t be bothered’)
feelings of guilt, hopelessness and self-blame
difficulty bonding with your baby – feeling of indifference and no sense of enjoyment in their company
frightening thoughts, for example, about hurting your baby – these can be scary, but they’re very rarely acted upon
thinking about suicide and self-harm

These symptoms can affect your day-to-day life and your relationships with your baby, family and friends.
Postnatal depression can develop gradually and it can be hard to recognise. Some parents may avoid talking to family and friends about how they’re feeling. This may be because they worry they’ll be judged for not coping or not appearing happy.
Signs for partners, family and friends to look out for in new parents include:

frequently crying for no obvious reason
having difficulty bonding with their baby
getting no pleasure from playing with them or feeling no good as a parent
withdrawing from contact with other people
speaking negatively all the time and claiming that they’re hopeless
neglecting themselves, like not washing or changing their clothes
losing all sense of time, like being unaware whether 10 minutes or 2 hours have passed
losing their sense of humour
constantly worrying that something is wrong with their baby, regardless of reassurance from others

If you think someone you know is depressed, encourage them to talk about their feelings. This could be to talk to you, a friend, their GP or their health visitor."
Pregnancy and baby,
Pressure ulcers,"The parts of the body most at risk of developing pressure ulcers are those that are not covered by a large amount of body fat and are in direct contact with a supporting surface, such as a bed or a wheelchair.
For example, if you are unable to get out of bed, you are at risk of developing pressure ulcers on your:

shoulders or shoulder blades
elbows
back of your head
rims of your ears
knees, ankles, heels or toes
spine
tail bone (the small bone at the bottom of your spine)

If you are a wheelchair user, you are at risk of developing pressure ulcers on:

your buttocks
the back of your arms and legs
the back of your hip bone

Healthcare professionals use several grading systems to describe the severity of pressure ulcers. The most common is the European Pressure Ulcer Advisory Panel (EPUAP) grading system. The higher the grade, the more severe the injury to the skin and underlying tissue. 
A grade 1 pressure ulcer is the most superficial type of ulcer. The affected area of skin appears discoloured – it is red in white people, and purple or blue in people with darker-coloured skin. Grade 1 pressure ulcers do not turn white when pressure is placed on them. The skin remains intact, but it may hurt or itch. It may also feel either warm and spongy, or hard.
In grade 2 pressure ulcers, some of the outer surface of the skin (the epidermis) or the deeper layer of skin (the dermis) is damaged, leading to skin loss. The ulcer looks like an open wound or a blister.
In grade 3 pressure ulcers, skin loss occurs throughout the entire thickness of the skin. The underlying tissue is also damaged, although the underlying muscle and bone are not. The ulcer appears as a deep, cavity-like wound.
A grade 4 pressure ulcer is the most severe type of pressure ulcer. The skin is severely damaged and the surrounding tissue begins to die (tissue necrosis). The underlying muscles or bone may also be damaged.
People with grade 4 pressure ulcers have a high risk of developing a life-threatening infection. "
Progressive supranuclear palsy (PSP),PSP usually develops gradually and can sometimes be mistaken for other conditions. The symptoms tend to get worse over many years.
Prostate cancer,"Prostate cancer does not normally cause symptoms until the cancer has grown large enough to put pressure on the urethra.
This normally results in problems associated with urination. Symptoms can include:

needing to urinate more frequently, often during the night
needing to rush to the toilet
difficulty in starting to pee (hesitancy)
straining or taking a long time while urinating
weak flow
feeling that your bladder has not emptied fully

Your prostate may get larger as you get older due to a non-cancerous condition known as prostate enlargement or benign prostatic hyperplasia.
Symptoms that the cancer may have spread include bone and back pain, a loss of appetite, pain in the testicles and unexplained weight loss.
Read further information:

Cancer Research UK: prostate cancer symptoms
"
Psoriasis,"Psoriasis typically causes patches of skin that are dry, red and covered in silver scales. Some people find their psoriasis causes itching or soreness.
There are several different types of psoriasis. Many people have only one form of psoriasis at a time, although 2 different types can occur together. One type may change into another type, or become more severe.
Most cases of psoriasis go through cycles, causing problems for a few weeks or months before easing or stopping.
You should see your GP if you think you may have psoriasis.
This is the most common form, accounting for about 80% of cases. Its symptoms are dry, red skin lesions, known as plaques, which are covered in silver scales. They normally appear on your elbows, knees, scalp and lower back, but can appear anywhere on your body. The plaques can be itchy, sore or both. In severe cases, the skin around your joints may crack and bleed. 
This can occur on parts of your scalp or on the whole scalp. It causes red patches of skin covered in thick silvery-white scales. Some people find scalp psoriasis extremely itchy, while others have no discomfort. In extreme cases it can cause hair loss, although this is usually only temporary.
In about half of all people with psoriasis, the condition affects the nails. Psoriasis can cause your nails to develop tiny dents or pits, become discoloured, or grow abnormally. Nails can often become loose and separate from your nail bed. In severe cases, your nails may crumble.
Guttate psoriasis causes small (less than 1cm or 1/3 inch) drop-shaped sores on your chest, arms, legs and scalp. There’s a good chance that guttate psoriasis will disappear completely after a few weeks, but some people go on to develop plaque psoriasis.
This type of psoriasis sometimes occurs after a streptococcal throat infection and is more common among children and teenagers.
This affects folds or creases in your skin, such as the armpits, groin, between the buttocks and under the breasts. It can cause large, smooth red patches in some or all of these areas. Inverse psoriasis is made worse by friction and sweating, so it can be particularly uncomfortable in hot weather.
Pustular psoriasis is a rarer type of psoriasis that causes pus-filled blisters (pustules) to appear on your skin. Different types of pustular psoriasis affect different parts of the body.
This causes pustules on a wide area of skin, which develop very quickly. The pus consists of white blood cells and is not a sign of infection. The pustules may reappear every few days or weeks in cycles. During the start of these cycles, von Zumbusch psoriasis can cause fever, chills, weight loss and fatigue.
This causes pustules to appear on the palms of your hands and the soles of your feet. The pustules gradually develop into circular brown, scaly spots, which then peel off. Pustules may reappear every few days or weeks.
This causes pustules to appear on your fingers and toes. The pustules then burst, leaving bright red areas that may ooze or become scaly. These may lead to painful nail deformities.
Erythrodermic psoriasis is a rare form of psoriasis that affects nearly all the skin on the body. This can cause intense itching or burning. Erythrodermic psoriasis can cause your body to lose proteins and fluid, leading to further problems such as infection, dehydration, heart failure, hypothermia and malnutrition."
Psoriatic arthritis,"Psoriatic arthritis can affect any joint in the body. It causes pain, swelling and stiffness in the joints. It often affects particular areas including the:

hands
feet
knees
elbows
neck and spine

Psoriatic arthritis can also affect the area where tendons and ligaments are connected to the bone. This is called entheses or enthesitis when inflamed.
Sometimes, the whole finger or toe can get inflamed and look sausage-like. This is called dactylitis
Symptoms usually develop slowly. This means that many people don’t know they’re developing psoriatic arthritis. In rare cases, symptoms can develop suddenly without warning.
The severity of psoriatic arthritis varies. Some people may have severe problems affecting many joints. Others may only notice mild symptoms in 1 or 2 joints.
There may be times when your symptoms get better and worse. These are called flare-ups or relapses. Some people may reach a point where they have no symptoms at all (known as remission).
Relapses can be hard to predict. But they can be managed with medication.
You should have check-ups at least once a year if you have been diagnosed with psoriatic arthritis. Make sure you let your doctor know if you’re experiencing any problems with your joints.
If your doctor thinks you may have psoriatic arthritis, they should refer you to a rheumatologist for an assessment. A rheumatologist is a specialist in joint conditions.
If you have psoriasis and problems with your joints, a rheumatologist should be able to diagnose psoriatic arthritis. Other types of arthritis, like rheumatoid arthritis and osteoarthritis, would need to be ruled out first.
You may get some tests to help confirm a diagnosis, including:

blood tests to check for signs of inflammation and other types of arthritis
X-rays of your joints
scans of your joints

The main aims of treatment will be to:

help your symptoms
slow the progression of the condition
improve your quality of life

You may be prescribed medication to help treat psoriatic arthritis. For example:

non-steroidal anti-inflammatory drugs (NSAIDs)
steroid medications
disease-modifying anti-rheumatic drugs (DMARDs)

Some people may be prescribed other medications to block chemicals that activate the immune system. These are known as biological medications. But, you will usually be given DMARDs to try first.
For most people, this will mean trying many different medications. Some of these can also treat psoriasis.
As with psoriasis and other types of inflammatory arthritis, you may be more likely to get some other conditions (such as cardiovascular disease (CVD)) if you have psoriatic arthritis.
CVD is the term for conditions of the heart or blood vessels, such as heart disease and stroke.
Your GP should carry out tests each year (such as blood pressure and cholesterol tests) so they can check whether you have CVD. They may offer additional treatment, if necessary.
Psoriatic arthritis can also cause inflammation of the eyes, such as Conjunctivitis and Iritis.
If psoriatic arthritis affects your skin and joints, you may notice changes in your nails such as:

dents
pits
discolouration
loosening from the nail bed

This is less common if only your skin is affected.
As well as your GP and a rheumatologist, you may also be cared for by:

a specialist nurse – often your first point of contact with your specialist care team
a dermatologist (skin specialist) – responsible for treating psoriasis symptoms
a physiotherapist – can create an exercise plan to keep your joints mobile
an occupational therapist – can help you overcome difficulties in your everyday life
a psychologist – can offer psychological support if you need it
a podiatrist – can offer assessment and advice on foot problems

Psoriatic arthritis is a long-term condition. When it affects many joints, regular treatment will likely be needed to keep the disease under control.
An early diagnosis and the right treatment can slow down the progression of psoriatic arthritis. Treatment can also help reduce or prevent permanent damage to your joints.
In some patients with severe disease, the joints may become permanently damaged or deformed, requiring surgical treatment.
You can also help yourself by:

having a good balance between rest and regular physical activity
losing weight, if you’re overweight
not smoking
only drinking moderate amounts of alcohol

Losing weight will help your general health and reduce the strain on your joints. There is evidence that weight loss can also improve the control of psoriatic arthritis and the response to treatment.
Read more about how to lose weight safely
Several studies have shown that patients with psoriatic arthritis who don’t smoke tend to have less severe disease and respond much better to treatment compared to those who do smoke.
Read more about stopping smoking"
Psychosis,
Pubic lice,"It can take up to 3 weeks after coming into contact with pubic lice before you notice any symptoms.
The most common symptom of pubic lice is itchy red spots. The itching is caused by an allergy to the lice saliva or poo.
It can take 1 to 3 weeks for itching to develop after the first infestation, and it’ll usually be worse at night.
Public lice are very small (2mm long) and grey-brown in colour.
They’re hard to spot, but sometimes you may be able to see them in your hair. They live mostly on pubic hair, but can also be found in hair on the chest, armpits, face and eyelashes. They do not affect hair on your head.
You may also notice the following symptoms:

small red or blue spots on your skin (lice bites)
white or yellow dots attached to your hair (lice eggs)
dark red or brown spots in your underwear (lice poo)
crusty or sticky eyelashes, if they’re infected

If you think you might have pubic lice, get checked for free by:

booking an appointment at your local sexual health service
contacting your GP practice for an appointment

There is no test for pubic lice. Your doctor or nurse will check your hair for lice. They may check your pubic hair around your penis or vagina and any other areas that could be affected.
To help spot any pubic lice, your doctor or nurse may use a comb and a magnifying lens.
You can also buy treatment over the counter at your local pharmacy although they will not be able to diagnose the infestation.
Pubic lice are treated with medicated creams or shampoos that kill the lice.
You’ll usually need to use treatment on your whole body and leave it on for a few hours before washing it off. You’ll need to repeat this a week later to make sure all the lice have been killed.
You may be asked to come back to your GP practice or sexual health clinic once you’ve finished treatment to check the treatment has worked.
Your partner(s) should also be treated, even if they do not have symptoms.
Some pubic lice can be resistant to treatment. Resistance means that the lice will not be affected by a particular treatment. If your symptoms don’t settle, you may need to try more than one type of treatment.
Speak to your GP practice or local sexual health clinic if your first treatment hasn’t worked.
Treatment of lice in the eye area is usually different from elsewhere. Certain creams and lotions are not safe for use near the eye area. Lice here can be removed with tweezers or Vaseline can be used to suffocate the lice before removal.
While you’re being treated for pubic lice, there are some things you can do to help stop the lice from spreading.
Pubic lice are spread through close body contact with someone who has them, most commonly sexual contact.
The lice crawl from hair to hair but can’t fly or jump. They need human blood to survive, so generally only leave the body to move from one person to another.
Pubic lice don’t live on other animals such as cats or dogs.
If you or your partner has pubic lice, you should avoid having sex (vaginal, anal or oral). You should also avoid close bodily contact. Do this until you’ve both finished treatment, including any follow-up treatment.
Pubic lice are easily spread, and condoms don’t protect against them.
To reduce the risk of getting pubic lice, you should limit the number of people you have intimate or sexual contact with.
If you have been diagnosed with pubic lice you should get tested for other STIs including:

gonorrhoea
chlamydia
syphilis
"
